name,freebase_id,dob
b'Marshall McLuhan',/m/04y4j,
b'Sextus Empiricus',/m/0182_n,
b'Epictetus',/m/02tkc,
b'Lev Shestov',/m/04_d1b,
b'Rudolf Christoph Eucken',/m/01h90j,
b'Karl Leonhard Reinhold',/m/04qpgj,
b'Friedrich Schiller',/m/0h336,
b'Friedrich Nietzsche',/m/02wh0,
b'Lysander Spooner',/m/0kmkv,
b'Francis Bacon',/m/030dr,
b'Ralph Waldo Emerson',/m/06jkm,
b'African Spir',/m/08nwqf,
b'Ludwig Feuerbach',/m/0182xl,
b'Friedrich Engels',/m/0cp8j,
b'Friedrich Albert Lange',/m/01qwjz,
b'Protagoras',/m/06035,
b'Auguste Comte',/m/0zz2v,
b'Bruno Bauer',/m/0jnsf,
b'Fr\xc3\xa9d\xc3\xa9ric Bastiat',/m/0301k,
b'Georg Wilhelm Friedrich Hegel',/m/039n1,
b'Johann Gottlieb Fichte',/m/0350t,
b'Marquis de Sade',/m/02flz,
b'Geoffrey Chaucer',/m/03b_m,
b'Novalis',/m/01fgc6,
b'Friedrich Wilhelm Joseph Schelling',/m/0182w0,
b'Nicholas of Cusa',/m/01pqmd,
b'Johann Georg Hamann',/m/01k8bj,
b'Charles Bray',/m/02x4v20,
b'George Boole',/m/09jzz,
b'Johann Gottfried Herder',/m/01qzgm,
b'Johannes Scotus Eriugena',/m/044g1n,
b'Friedrich Heinrich Jacobi',/m/01cz85,
b'Gotthold Ephraim Lessing',/m/0378w,
b'Henri Bergson',/m/03j43,
b'Isaac Newton',/m/03s9v,
b'Immanuel Kant',/m/03sbs,
b'Hugo Grotius',/m/0hl94,
b'Christian Wolff',/m/01czwg,
b'F\xc3\xa9lix Ravaisson-Mollien',/m/017lgr,
b'Francisco Su\xc3\xa1rez',/m/042bxj,
b'Johannes Nikolaus Tetens',/m/04q48q,
b'Philodemus',/m/07slxy,
"b'Sir William Hamilton, 9th Baronet'",/m/01d89l,
b'Alexander Gottlieb Baumgarten',/m/01r5yn,
b'\xc3\x89mile Durkheim',/m/09j84,
b'Carl Jung',/m/0bk5r,
