"p","influenced"
"http://dbpedia.org/resource/Mark_Kingwell","http://rdf.freebase.com/ns/m.03cgz_"
"http://dbpedia.org/resource/Mohsen_Kadivar","http://rdf.freebase.com/ns/m.03fdzl"
"http://dbpedia.org/resource/A._D._Gordon","http://rdf.freebase.com/ns/m.05rt6f"
"http://dbpedia.org/resource/Avital_Ronell","http://rdf.freebase.com/ns/m.05z_ym"
"http://dbpedia.org/resource/Don_Ihde","http://rdf.freebase.com/ns/m.05_pnp"
"http://dbpedia.org/resource/Jeremy_Waldron","http://rdf.freebase.com/ns/m.05zk3z"
"http://dbpedia.org/resource/Kam%C4%81l_al-D%C4%ABn_al-F%C4%81ris%C4%AB","http://rdf.freebase.com/ns/m.05sfk0"
"http://dbpedia.org/resource/Gy%C3%B6rgy_M%C3%A1rkus","http://rdf.freebase.com/ns/m.092hvd"
"http://dbpedia.org/resource/Franciscus_van_den_Enden","http://rdf.freebase.com/ns/m.08_vx1"
"http://dbpedia.org/resource/Muhammad_al-Tijani","http://rdf.freebase.com/ns/m.08wh5l"
"http://dbpedia.org/resource/Richard_J._F._Day","http://rdf.freebase.com/ns/m.0cc5c5"
"http://dbpedia.org/resource/Luciano_Floridi","http://rdf.freebase.com/ns/m.0c6g6s"
"http://dbpedia.org/resource/Rosalyn_Diprose","http://rdf.freebase.com/ns/m.012nh927"
"http://dbpedia.org/resource/Ofelia_Schutte","http://rdf.freebase.com/ns/m.0c47gcg"
"http://dbpedia.org/resource/A._J._Ayer","http://rdf.freebase.com/ns/m.0w2w"
"http://dbpedia.org/resource/Adam_Weishaupt","http://rdf.freebase.com/ns/m.0wjz"
"http://dbpedia.org/resource/Anaxagoras","http://rdf.freebase.com/ns/m.0sq0"
"http://dbpedia.org/resource/Anaximander","http://rdf.freebase.com/ns/m.0mm8"
"http://dbpedia.org/resource/Anaximenes_of_Miletus","http://rdf.freebase.com/ns/m.0sst"
"http://dbpedia.org/resource/Daniel_Dennett","http://rdf.freebase.com/ns/m.02fc2"
"http://dbpedia.org/resource/Democritus","http://rdf.freebase.com/ns/m.0290q"
"http://dbpedia.org/resource/Desiderius_Erasmus","http://rdf.freebase.com/ns/m.02rpq"
"http://dbpedia.org/resource/Edmund_Husserl","http://rdf.freebase.com/ns/m.02ln1"
"http://dbpedia.org/resource/Empedocles","http://rdf.freebase.com/ns/m.02lvm"
"http://dbpedia.org/resource/Epicurus","http://rdf.freebase.com/ns/m.02q_8"
"http://dbpedia.org/resource/F%C3%A9lix_Guattari","http://rdf.freebase.com/ns/m.02zww"
"http://dbpedia.org/resource/Francis_Fukuyama","http://rdf.freebase.com/ns/m.02_jg"
"http://dbpedia.org/resource/Franz_Bopp","http://rdf.freebase.com/ns/m.0333c"
"http://dbpedia.org/resource/G._E._Moore","http://rdf.freebase.com/ns/m.034n8"
"http://dbpedia.org/resource/Georg_Henrik_von_Wright","http://rdf.freebase.com/ns/m.036xf"
"http://dbpedia.org/resource/George_Pappas","http://rdf.freebase.com/ns/m.036_l"
"http://dbpedia.org/resource/Gilles_Deleuze","http://rdf.freebase.com/ns/m.0399p"
"http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz","http://rdf.freebase.com/ns/m.0372p"
"http://dbpedia.org/resource/Hans-Georg_Gadamer","http://rdf.freebase.com/ns/m.03mt9"
"http://dbpedia.org/resource/Heraclitus","http://rdf.freebase.com/ns/m.03l6h"
"http://dbpedia.org/resource/J%C3%BCrgen_Habermas","http://rdf.freebase.com/ns/m.044wb"
"http://dbpedia.org/resource/Jacques_Lacan","http://rdf.freebase.com/ns/m.043tg"
"http://dbpedia.org/resource/Jan_Hus","http://rdf.freebase.com/ns/m.042x_"
"http://dbpedia.org/resource/Jean-Paul_Sartre","http://rdf.freebase.com/ns/m.045bg"
"http://dbpedia.org/resource/John_Wycliffe","http://rdf.freebase.com/ns/m.046f1"
"http://dbpedia.org/resource/Peter_Wessel_Zapffe","http://rdf.freebase.com/ns/m.065xs"
"http://dbpedia.org/resource/Proclus","http://rdf.freebase.com/ns/m.066c6"
"http://dbpedia.org/resource/Pseudo-Dionysius_the_Areopagite","http://rdf.freebase.com/ns/m.05x_l"
"http://dbpedia.org/resource/Robert_Nozick","http://rdf.freebase.com/ns/m.06k0y"
"http://dbpedia.org/resource/Abu_Bakr_Ibn_Sayyid_al-N%C4%81s","http://rdf.freebase.com/ns/m.0zgd6vb"
"http://dbpedia.org/resource/Boris_Groys","http://rdf.freebase.com/ns/m.0584959"
"http://dbpedia.org/resource/Fran%C3%A7ois_Zourabichvili","http://rdf.freebase.com/ns/m.0_lf4qw"
"http://dbpedia.org/resource/Gary_Winkel","http://rdf.freebase.com/ns/m.082mkp"
"http://dbpedia.org/resource/Idriss_Aberkane","http://rdf.freebase.com/ns/m.0125yjgh"
"http://dbpedia.org/resource/Khalil_ibn_Ishaq_al-Jundi","http://rdf.freebase.com/ns/m.0d65_n"
"http://dbpedia.org/resource/Peter_Hogg","http://rdf.freebase.com/ns/m.04ch1s"
"http://dbpedia.org/resource/Philippe_Lacoue-Labarthe","http://rdf.freebase.com/ns/m.04brth"
"http://dbpedia.org/resource/Wilhelm_Windelband","http://rdf.freebase.com/ns/m.04f7mv"
"http://dbpedia.org/resource/E._A._Belyaev","http://rdf.freebase.com/ns/m.026w0nb"
"http://dbpedia.org/resource/Irving_Singer","http://rdf.freebase.com/ns/m.03ntd9r"
"http://dbpedia.org/resource/Ghulam_Ali_Dihlawi","http://rdf.freebase.com/ns/m.0cmc6ws"
"http://dbpedia.org/resource/Nooruddeen_Durkee","http://rdf.freebase.com/ns/m.05fb3gk"
"http://dbpedia.org/resource/Wolfgang_Stegm%C3%BCller","http://rdf.freebase.com/ns/m.026j0fd"
"http://dbpedia.org/resource/Danielle_Allen","http://rdf.freebase.com/ns/m.0bs8y_7"
"http://dbpedia.org/resource/Muhammad_Tahir","http://rdf.freebase.com/ns/m.05q40rl"
"http://dbpedia.org/resource/Giovanni_Piana","http://rdf.freebase.com/ns/m.0ktdmp"
"http://dbpedia.org/resource/Renata_Salecl","http://rdf.freebase.com/ns/m.0czcgtv"
"http://dbpedia.org/resource/Wilmon_Henry_Sheldon","http://rdf.freebase.com/ns/m.0bxyw2s"
"http://dbpedia.org/resource/Fred_Dretske","http://rdf.freebase.com/ns/m.086k8v"
"http://dbpedia.org/resource/Lucien_Tesni%C3%A8re","http://rdf.freebase.com/ns/m.082dl8"
"http://dbpedia.org/resource/Chris_Harman","http://rdf.freebase.com/ns/m.02vk95"
"http://dbpedia.org/resource/Christopher_W._Morris","http://rdf.freebase.com/ns/m.0bmbtwf"
"http://dbpedia.org/resource/Claudine_Tiercelin","http://rdf.freebase.com/ns/m.0l8psbz"
"http://dbpedia.org/resource/Ahmad_ibn_Muhammad_al-Tahawi","http://rdf.freebase.com/ns/m.0h18mm"
"http://dbpedia.org/resource/Haji_Dost_Muhammad_Qandhari","http://rdf.freebase.com/ns/m.09gjkl0"
"http://dbpedia.org/resource/Ernst_Christian_Gottlieb_Reinhold","http://rdf.freebase.com/ns/m.043p244"
