no,fb1,fb2,name_x,phil_x,writ_x,name_y,phil_y,writ_y
26685,/m/03869,/m/02rh31x,Gustav Klimt,,,Kevin Wasden,,
26686,/m/03j0d,/m/05b5xqq,H. P. Lovecraft,,1.0,Charles R. Tanner,,
26687,/m/03869,/m/0bx_2tc,Gustav Klimt,,,,,
26688,/m/03869,/m/03nx9hy,Gustav Klimt,,,Fletcher Sibthorp,,
26689,/m/037jg,/m/0415_km,Gustav Kirchhoff,,,Augustus Matthiessen,,
26690,/m/03869,/m/0gfj1t6,Gustav Klimt,,,,,
26691,/m/03hpr,/m/02z3vzv,Harlan Ellison,,1.0,James A. Moore,,1.0
26692,/m/098yd,/m/0f4tns,Harriet Tubman,,1.0,,,
26693,/m/03mt9,/m/04zwy5x,Hans-Georg Gadamer,1.0,,,,
26694,/m/03g20,/m/0bp8q,,,,,,
26695,/m/03g20,/m/011y70,,,,,,
26696,/m/03hpr,/m/02q7_vs,Harlan Ellison,,1.0,Rahadyan Sastrowardoyo,,1.0
26697,/m/0534v,/m/0n4s642,Hayao Miyazaki,,1.0,,,
26698,/m/03lty,/m/03ccqdq,,,,Damian McDonald,,
26699,/m/03kml,/m/0j29ktf,H. R. Giger,,,,,
26700,/m/03xj1,/m/0c2ssw,,,,David Milne,,1.0
26701,/m/03xj1,/m/0ds8ktr,,,,,,
26702,/m/03xj1,/m/04gp2jb,,,,,,
26703,/m/03xj1,/m/09g72p2,,,,,,
26704,/m/03xj1,/m/063_z_m,,,,Amanda Dunbar,,
26705,/m/03xj1,/m/0t53tkc,,,,,,
26706,/m/03xj1,/m/0n53g6y,,,,,,
26707,/m/03xj1,/m/0g_6dd,,,,,,
26708,/m/03xj1,/m/0by1st8,,,,,,
26709,/m/03xj1,/m/04ljx5p,,,,Georgette Chen,,
26710,/m/03kf2,/m/0fkb9r,Hildegard of Bingen,1.0,1.0,B. W. Powe,1.0,
26711,/m/03xj1,/m/06fjs9,,,,,,
26712,/m/03xj1,/m/0b9vyq,,,,Fernando Amorsolo,,
26713,/m/03xj1,/m/0406r3m,,,,,,
26714,/m/03xj1,/m/0n4br6j,,,,,,
26715,/m/03xj1,/m/0wbhlcy,,,,,,
26716,/m/041h0,/m/026srm,J. R. R. Tolkien,,1.0,Charles de Lint,,1.0
26717,/m/041h0,/m/07q62,J. R. R. Tolkien,,1.0,T. H. White,,1.0
26718,/m/041h0,/m/0dz46,J. R. R. Tolkien,,1.0,Lloyd Alexander,,1.0
26719,/m/041h0,/m/0fkqgh,J. R. R. Tolkien,,1.0,E. E. Knight,,1.0
26720,/m/041h0,/m/04n0jyy,J. R. R. Tolkien,,1.0,,,
26721,/m/09qxy,/m/043qmv,J. Robert Oppenheimer,,,Robert Serber,,
26722,/m/044q5,/m/0b87y4,Jacob Lawrence,,,Gwendolyn Knight,,
26723,/m/041mt,/m/02x33bd,Jack Kerouac,,,Gary Forrester,,1.0
26724,/m/02hlw,/m/05f7lcf,Jacques-Louis David,,,Abel de Pujol,,
26725,/m/044q5,/m/09k4rwm,Jacob Lawrence,,,,,
26726,/m/02hlw,/m/05c04_2,Jacques-Louis David,,,Jean-Baptiste Wicar,,
26727,/m/046_v,/m/0h_cn1b,Jack Kirby,,1.0,,,
26728,/m/046_v,/m/0yxl,Jack Kirby,,1.0,Alan Moore,,1.0
26729,/m/044wv,/m/0bszbh,James Watson,,,,,
26730,/m/045vs,/m/043rvr1,,,,,,
26731,/m/046_v,/m/0l3td,Jack Kirby,,1.0,Mark Evanier,,1.0
26732,/m/044q5,/m/0sghp2y,Jacob Lawrence,,,,,
26733,/m/03_gd,/m/0kb7s_s,,,,,,
26734,/m/044q5,/m/0glr8ns,Jacob Lawrence,,,,,
26735,/m/02p97,/m/0gh8h6w,,,,,,
26736,/m/07sbkfb,/m/0gh8h6w,,,,,,
26737,/m/07sbkfb,/m/0n50hxv,,,,,,
26738,/m/07sbkfb,/m/028bwlw,,,,,,
26739,/m/02p97,/m/03ck7xt,,,,,,
26740,/m/07sbkfb,/m/0bgnn8,,,,,,
26741,/m/07sbkfb,/m/02pq90z,,,,,,
26742,/m/07sbkfb,/m/0dryl2x,,,,,,
26743,/m/07sbkfb,/m/0w677kq,,,,,,
26744,/m/07sbkfb,/m/03gxv97,,,,,,
26745,/m/07sbkfb,/m/0282msx,,,,,,
26746,/m/07sbkfb,/m/02ky6z,,,,,,
26747,/m/07sbkfb,/m/02jy2q,,,,,,
26748,/m/07sbkfb,/m/02jxfs,,,,,,
26749,/m/02p97,/m/0bp8q,,,,,,
26750,/m/07sbkfb,/m/02npry,,,,,,
26751,/m/07sbkfb,/m/0vgmh,,,,,,
26752,/m/07sbkfb,/m/04jfk1r,,,,,,
26753,/m/07sbkfb,/m/06mmmy,,,,,,
26754,/m/07sbkfb,/m/04043kd,,,,,,
26755,/m/07sbkfb,/m/0glrmdf,,,,,,
26756,/m/07sbkfb,/m/0ch3wy9,,,,,,
26757,/m/02p97,/m/0gy1vx_,,,,,,
26758,/m/07sbkfb,/m/09g9qcd,,,,,,
26759,/m/02p97,/m/04b9q6,,,,,,
26760,/m/07sbkfb,/m/04xw5j,,,,,,
26761,/m/07sbkfb,/m/03gxzs,,,,,,
26762,/m/07sbkfb,/m/03h9tz,,,,,,
26763,/m/07sbkfb,/m/0672c1,,,,,,
26764,/m/02p97,/m/084pb2,,,,,,
26765,/m/07sbkfb,/m/06xcy4,,,,,,
26766,/m/07sbkfb,/m/09c3bc,,,,,,
26767,/m/07sbkfb,/m/06z3b2,,,,,,
26768,/m/07sbkfb,/m/0g6kp3,,,,,,
26769,/m/02p97,/m/0vpx3pm,,,,,,
26770,/m/041st,/m/08ht41,Jean-Michel Basquiat,,,,,
26771,/m/03_d0,/m/0gmg_bs,,,,,,
26772,/m/041st,/m/03wc0zx,Jean-Michel Basquiat,,,,,
26773,/m/03_d0,/m/0bh9lsk,,,,,,
26774,/m/03_d0,/m/0bwhrxv,,,,,,
26775,/m/03_d0,/m/07x5xf,,,,,,
26776,/m/07sbkfb,/m/0729m2,,,,,,
26777,/m/07sbkfb,/m/0376r,,,,,,
26778,/m/07sbkfb,/m/01fln6,,,,,,
