influencer_id,follower_id
/m/0d7t6,/m/02fkcx
/m/0d7t6,/m/01hb49
/m/0d7t6,/m/05d5kj
/m/0d7t6,/m/093130
/m/0d7t6,/m/03kk6x
/m/0d7t6,/m/02nmr
/m/0d7t6,/m/01tz6vs
/m/04b2f0,/m/016wkh
/m/04b2f0,/m/03wchs
/m/01dfd4,/m/0jcx
/m/01dfd4,/m/05s0ft
/m/01dfd4,/m/048c2
/m/01dfd4,/m/02rl77l
/m/0cdfl,/m/04xfb
/m/0cdfl,/m/01gwlg
/m/0cdfl,/m/041mry
/m/0slqn,/m/02nmr
/m/0slqn,/m/0cp8j
/m/0slqn,/m/02wh0
/m/0slqn,/m/048cl
/m/0slqn,/m/01hkr
/m/0slqn,/m/014g17
/m/0slqn,/m/0lcx
/m/0slqn,/m/06hgj
/m/0slqn,/m/06hwd
/m/0slqn,/m/024kq1
/m/0slqn,/m/05d5kj
/m/0slqn,/m/08pjyw
/m/0slqn,/m/0557ff
/m/0slqn,/m/0ffzr
/m/0slqn,/m/033610
/m/0slqn,/m/05sz8sv
/m/0slqn,/m/04cy47h
/m/0slqn,/m/02vhlz
/m/0slqn,/m/0jnsf
/m/0slqn,/m/0126cl
/m/0slqn,/m/01qwjz
/m/0slqn,/m/0h25
/m/0slqn,/m/0188lg
/m/0slqn,/m/01qhxs
/m/0slqn,/m/065_27
/m/0slqn,/m/0dzkq
/m/0gz_,/m/02vn3_
/m/0gz_,/m/0bwpg
/m/0gz_,/m/015n8
/m/0gz_,/m/02qr0
/m/0gz_,/m/039n1
/m/0gz_,/m/09jzz
/m/0gz_,/m/018wj9
/m/0gz_,/m/0420y
/m/0gz_,/m/043s3
/m/0gz_,/m/048cl
/m/0gz_,/m/06csk
/m/0gz_,/m/07kb5
/m/0gz_,/m/07c37
/m/0gz_,/m/01yfj1
/m/0gz_,/m/04ycgp
/m/0gz_,/m/0p7fb
/m/0gz_,/m/0lhg5
/m/0gz_,/m/01czwg
/m/0gz_,/m/017lgr
/m/0gz_,/m/013w_3
/m/0gz_,/m/01f6vp
/m/0gz_,/m/01dvtx
/m/0gz_,/m/01pqmd
/m/0gz_,/m/09h2_9
/m/0gz_,/m/03clpz
/m/0gz_,/m/01bt14
/m/0gz_,/m/01r356
/m/0gz_,/m/032hw6
