name,freebase_id,yob
b'Albert Camus',/m/0lcx,1913
b'Linda Trinkaus Zagzebski',/m/040s02,1946
b'Martha Nussbaum',/m/01y3j6,1947
b'Alasdair MacIntyre',/m/02tn3m,1929
b'Bernard Williams',/m/02p76c,1929
b'Nicolai Hartmann',/m/02j8qr,1882
b'Max Scheler',/m/03crz1,1874
b'Edward Abramowski',/m/08zg_h,1868
b'Dallas Willard',/m/05bkmp,1935
b'Ole Thyssen',/m/0280xhf,1944
b'Jalal ad-Din Muhammad Rumi',/m/0461p,1207
b'Sayyad Laal Shah Hamdani',/m/0ch24vc,1207
b'Will Kymlicka',/m/03hnbb,1962
b'Edith Penrose',/m/025_075,1914
b'Hans Vaihinger',/m/02g_1q,1852
b'Rosalind Hursthouse',/m/01rmxv,1943
b'Herbert Marcuse',/m/03l44,1898
b'B. R. Ambedkar',/m/01c1y0,1891
b'Muhsin al-Hakim',/m/031qjr,1889
b'Gerald Cohen',/m/05_3k7,1941
b'T. K. Seung',/m/03hngpt,1930
b'David Williams',/m/02vy44p,1738
b'Peter Geach',/m/01s3cq,1916
b'Alexandre Koyr\xc3\xa9',/m/06s3rg,1892
b'Abdel Rahman Badawi',/m/0798bj,1917
b'Theodor W. Adorno',/m/07h1q,1903
b'Otto Neurath',/m/0d8n_,1882
"b""John O'Neill""",/m/05x1mfc,1956
b'Thomas Kuhn',/m/07lsm,1922
b'Takis Fotopoulos',/m/08fq35,1940
b'\xc3\x89mile Meyerson',/m/08yfvp,1859
"b""Ka'ab al-Ahbar""",/m/026ht8c,1859
b'Yusuf ibn Abd al-Rahman al-Mizzi',/m/0h47_d,1256
b'Ibn Kathir',/m/02bkwx,1300
b'Pierre Laffitte',/m/076092,1823
b'Ibn Qayyim Al-Jawziyya',/m/05yrms,1292
b'Ibn Taymiyyah',/m/01nyrx,1263
b'Michael Walzer',/m/035fn3,1935
b'Otto Bauer',/m/03j8bg,1881
b'Jules de Gaultier',/m/0blrkm,1858
b'Sh\xc5\xabz\xc5\x8d Kuki',/m/019hvw,1888
b'Charles Cooley',/m/030zwp,1864
b'Strato of Lampsacus',/m/02vn3_,-334
b'Miroslav Krle\xc5\xbea',/m/01tw26,1893
b'Lewis Mumford',/m/01tmnx,1895
b'Jon Elia',/m/04gljv,1931
b'Norbert Elias',/m/026gpc,1897
b'Juan V\xc3\xa1zquez de Mella',/m/0cdwyv,1861
b'Osvaldo Lira',/m/03cj3l1,1904
b'Wolfi Landstreicher',/m/0557ff,1904
b'Ruth Millikan',/m/06f7kk,1933
b'Kostas Axelos',/m/0537ph,1924
b'Henri Lefebvre',/m/03fg90,1901
b'R. G. Collingwood',/m/02dm9c,1889
b'Karl Korsch',/m/026vmm,1886
b'Quentin Meillassoux',/m/0g_c06,1967
b'Graham Priest',/m/09svky,1948
b'Stanley Rosen',/m/0gjs7n,1929
b'Crates of Athens',/m/02q3446,-400
b'Yevgeny Baratynsky',/m/03jgrc,1800
b'Jos\xc3\xa9 Correia da Serra',/m/02rzw5z,1751
b'Johann Georg Sulzer',/m/09bky_,1720
b'\xc3\x89mile Boutroux',/m/02cln2,1845
b'Nikolay Lossky',/m/0dpx0c,1870
b'Titu Maiorescu',/m/02j2j5,1840
b'Kazimierz Twardowski',/m/03_3_q,1866
b'Roy Johnston',/m/065z_vt,1929
b'Rom Harr\xc3\xa9',/m/0d32tj,1927
b'Mark Lilla',/m/0270gws,1956
b'John Mearsheimer',/m/03wchs,1947
b'David Stove',/m/04j6xh,1927
